#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-1040,5,4.264546
-1020,7,4.268543
-980,5,4.271542
-1050,10,4.276539
-1040,9,4.282536
-1010,6,4.285534
-1040,9,4.290531
-990,4,4.293529
-1010,6,4.297527
-980,5,4.300525
-1070,12,4.307521
-1030,10,4.315516
-1040,5,4.317516
-970,4,4.371484
-1100,11,4.376482
-1100,15,4.387475
-1040,9,4.392472
-1070,10,4.398469
-1040,9,4.403466
-1020,5,4.406464
-990,4,4.409462
-1020,9,4.414459
-1030,8,4.419457
-1010,6,4.422455
-1030,10,4.428452
-980,5,4.43145
-990,4,4.433448
-1040,11,4.440444
-990,6,4.444442
-990,6,4.49941
-1100,11,4.505407
-1040,9,4.510404
-990,6,4.514402
-1030,10,4.520398
-1030,6,4.524396
-1010,8,4.529393
-990,6,4.53439
-1060,11,4.540386
-1000,5,4.543385
-1040,9,4.547383
-990,4,4.549381
-1060,13,4.558376
-1040,9,4.563374
-1100,13,4.56937
-1110,16,4.629335
-1000,5,4.632334
-1030,6,4.635333
-1070,10,4.640329
-1050,10,4.646326
-1060,13,4.655321
-1080,11,4.661317
-1030,8,4.665315
-1060,11,4.672311
-1150,22,4.689301
-1040,7,4.6923
-1020,9,4.699296
-1060,11,4.757262
-1030,6,4.760261
-1010,4,4.762259
-1000,5,4.765258
-1070,14,4.775252
-1110,16,4.784248
-1000,5,4.787245
-1010,6,4.790243
-990,6,4.794241
-1010,6,4.798239
-1060,9,4.803236
-1010,6,4.806234
-990,6,4.810231
-990,4,4.81323
-1060,9,4.817227
-1020,5,4.820226
-1070,10,4.826222
-1070,10,4.88319
-990,4,4.885189
-1030,6,4.888187
-1010,4,4.891185
-1020,7,4.895184
-1070,8,4.89918
-1040,5,4.902179
-1060,13,4.910174
-1010,4,4.913173
-1000,7,4.91717
-1080,13,4.924166
-1090,16,4.93516
-1020,9,4.941156
-1000,5,4.944155
-1050,10,4.949152
-980,5,4.953149
-1040,9,5.010117
-1020,9,5.016113
-1010,6,5.020111
-1110,14,5.028106
-1030,8,5.032104
-1030,6,5.035102
-1040,9,5.040099
-1010,4,5.042098
-980,5,5.046096
-1100,15,5.05509
