#{"t_start": 1590688153.5110798, "env_id": "zhedLevel5-v0"}
r,l,t
-1050,8,5.911597
-1030,8,5.916595
-990,6,5.920593
-1030,10,5.927588
-1050,12,5.935584
-1040,7,5.938582
-1010,8,5.94358
-1050,8,5.948576
-1020,7,5.951575
-1000,7,5.955573
-1120,15,6.019536
-1010,6,6.023533
-1020,7,6.028531
-1000,5,6.031529
-980,5,6.035527
-1000,7,6.040524
-980,5,6.044522
-990,6,6.048519
-1000,5,6.052517
-1020,7,6.056514
-980,5,6.059513
-1150,22,6.075503
-1010,6,6.079501
-1020,5,6.082499
-1010,6,6.085497
-1090,14,6.094492
-1070,12,6.156457
-980,5,6.159455
-1050,10,6.164453
-980,5,6.16745
-1020,7,6.170449
-1040,9,6.176445
-1040,9,6.181442
-1130,16,6.191437
-1050,12,6.198432
-980,5,6.201431
-1020,5,6.204429
-1030,6,6.207427
-970,4,6.210425
-1090,14,6.218422
-980,5,6.221419
-1070,8,6.225418
-970,4,6.228416
-1080,11,6.28938
-990,4,6.291379
-990,4,6.293378
-1020,7,6.298375
-1100,17,6.310368
-1040,11,6.317364
-1030,6,6.321362
-1030,8,6.32536
-1000,5,6.329357
-1040,11,6.335354
-1090,14,6.343349
-1020,5,6.345348
-1020,7,6.350345
-980,5,6.353344
-980,5,6.356342
-1040,7,6.36034
-1010,8,6.420305
-1040,7,6.424303
-980,5,6.427301
-990,6,6.431298
-1000,7,6.436296
-1060,9,6.441293
-990,6,6.44529
-1080,11,6.450288
-990,4,6.453286
-990,4,6.455285
-1030,8,6.461282
-1020,7,6.465279
-1050,12,6.473274
-1010,8,6.478272
-1000,5,6.48127
-1110,14,6.489265
-1070,12,6.552229
-970,4,6.555227
-990,6,6.558226
-990,4,6.560224
-1030,10,6.56722
-1020,5,6.570219
-1030,8,6.575216
-1020,5,6.577215
-1010,6,6.581212
-1040,7,6.58521
-980,5,6.588208
-1070,10,6.593206
-990,4,6.596204
-980,5,6.599202
-1050,12,6.608197
-1040,7,6.612194
-1080,13,6.61919
-1000,5,6.622188
-1000,7,6.627186
-1060,9,6.685152
-1090,14,6.695147
-1010,4,6.697146
-1010,6,6.701143
-1060,9,6.706141
-1040,9,6.710138
-1050,12,6.717134
-1060,13,6.727128
-990,4,6.729127
-1040,7,6.733125
-1010,6,6.736123
-1130,18,6.747116
-980,5,6.750115
-1030,8,6.755112
-1060,7,6.813079
-1010,8,6.819076
-1060,9,6.823073
-1020,9,6.830069
-1050,10,6.835066
-1010,6,6.839064
-1040,9,6.844061
-1000,7,6.849058
-1010,4,6.852057
-1000,5,6.854055
-1030,8,6.858053
-1080,9,6.86305
-1050,12,6.871046
-1010,8,6.876042
-1040,9,6.88104
-1040,7,6.885037
-1110,18,6.951999
-980,5,6.954997
-1030,8,6.959994
-1030,10,6.96699
-990,4,6.969989
-1020,7,6.974986
-1010,6,6.978983
-1050,10,6.98598
-1140,17,6.995974
-1040,7,6.998972
-990,6,7.00297
-1020,5,7.005968
-970,4,7.008966
-1010,6,7.011964
-980,5,7.014963
-1030,8,7.01996
-1010,6,7.023957
-1010,6,7.081924
-1050,8,7.086921
-1000,7,7.090919
-1000,5,7.092917
-1020,9,7.098914
-990,6,7.102912
-1020,9,7.107909
-990,4,7.110907
-1090,12,7.117904
-1000,7,7.122901
-1100,13,7.129897
-1000,5,7.132895
-990,6,7.135893
-1030,8,7.140891
-1020,7,7.144888
-1040,5,7.146887
-1090,12,7.152883
-1000,5,7.20985
-1040,7,7.213848
-1000,7,7.217845
-1000,5,7.220844
-1100,15,7.228839
-970,4,7.231838
-1090,14,7.239833
-1060,9,7.24483
-1020,5,7.247829
-990,4,7.250827
-970,4,7.252825
-1030,10,7.259821
-1060,11,7.266817
-970,4,7.269816
-1030,8,7.274813
-1020,5,7.277811
-1020,9,7.282808
-1180,25,7.354767
-1010,6,7.358765
-1010,6,7.362763
-1030,8,7.36676
-1020,7,7.370758
-1070,10,7.375755
-1020,7,7.380753
-1050,8,7.385749
-1100,15,7.393744
-1000,7,7.398742
-1070,8,7.402739
-1080,15,7.412734
-1010,8,7.41873
-1080,15,7.483693
-990,6,7.488691
-1020,9,7.494687
-1050,12,7.501683
-1060,11,7.509679
-1080,13,7.517673
-1010,6,7.520672
-990,6,7.52467
-970,4,7.527667
-1090,14,7.537662
-1030,8,7.542659
-990,4,7.544657
-1070,10,7.549655
-1010,4,7.551654
-1030,8,7.61062
-1020,5,7.613618
-1010,6,7.616616
-990,6,7.620614
-1030,6,7.624612
-1010,4,7.62661
-1100,13,7.633606
-1120,17,7.6446
-980,5,7.647598
-1050,12,7.655594
-1050,12,7.663589
-1050,8,7.667587
-1040,9,7.672584
-1060,13,7.682578
-1040,9,7.686576
-1100,11,7.746542
-990,6,7.750539
-1000,5,7.753537
-1070,12,7.761533
-1000,7,7.76653
-1080,9,7.770528
-1020,7,7.774526
-1060,7,7.777524
-1010,8,7.783521
-990,4,7.786518
-1000,5,7.789517
-1050,12,7.796512
-1170,22,7.812503
-1020,7,7.816501
-1040,7,7.820499
-1140,17,7.884462
-1010,6,7.88846
-1020,7,7.892458
-990,6,7.896455
-1010,6,7.900453
-1020,7,7.90545
-1050,6,7.908448
-1020,7,7.911447
-1000,7,7.916444
-1110,18,7.929436
-1060,9,7.934433
-1010,6,7.938431
-980,5,7.941429
-1000,5,7.944428
-1010,8,7.950424
-1140,17,8.012388
-1000,5,8.015387
-1120,17,8.024382
-1010,6,8.02738
-990,4,8.029379
-1120,19,8.039373
-1000,7,8.04437
-1080,13,8.051366
-1070,14,8.058362
-1000,5,8.061361
-1050,10,8.067357
-1020,7,8.071355
-980,5,8.074353
-1080,13,8.136317
-1080,13,8.143313
-1100,15,8.152308
-1030,6,8.155306
-1030,8,8.160303
-980,5,8.164301
-1020,7,8.168298
-1070,10,8.173296
-1020,7,8.177294
-1080,11,8.18329
-980,5,8.187288
-1050,12,8.196283
-1090,12,8.202279
-1050,10,8.207276
-1070,12,8.269241
-1100,15,8.278235
-1080,13,8.286231
-990,4,8.28823
-1050,10,8.293227
-1010,8,8.299223
-1030,8,8.303221
-1010,6,8.307219
-1050,8,8.312216
-1010,8,8.316214
-1020,9,8.32321
-1010,6,8.326208
-1050,10,8.331205
-1000,5,8.334203
-1000,5,8.337202
-1040,7,8.396168
-1010,6,8.399166
-1030,6,8.402164
-990,6,8.406162
-1050,8,8.41016
-1000,5,8.413158
-1030,8,8.417156
-1030,6,8.420154
-1010,8,8.425151
-1000,5,8.428149
-1030,8,8.433146
-1050,10,8.438144
-1040,9,8.44414
-1020,7,8.449137
-1030,8,8.455134
-1050,12,8.463129
-990,4,8.465128
-1010,6,8.468126
-1070,10,8.529091
-1020,7,8.534089
-1020,7,8.539085
-1030,8,8.545082
-1020,7,8.54908
-1010,6,8.553077
-990,4,8.555076
-1040,9,8.561073
-980,5,8.56507
-1030,8,8.570067
-980,5,8.573066
-1000,7,8.577064
-1120,15,8.584059
-1020,5,8.586058
-1020,7,8.591055
-1030,6,8.595053
-1020,7,8.599051
-1050,10,8.659017
-1050,8,8.664014
-1030,6,8.667012
-1040,9,8.673008
-1050,10,8.679005
-1040,11,8.686001
-1020,7,8.689999
-980,5,8.692997
-1050,10,8.698993
-1080,13,8.706989
-1010,8,8.712985
-1060,9,8.717983
-1050,6,8.720981
-1030,6,8.723979
-1000,5,8.726977
-1020,7,8.729976
-1000,5,8.733974
-1010,8,8.79394
-1010,6,8.797937
-1030,6,8.801935
-1000,7,8.806931
-970,4,8.80993
-1080,11,8.814928
-1030,8,8.820924
-1060,9,8.825921
-990,4,8.827919
-1040,7,8.832916
-1020,7,8.836914
-1080,11,8.84291
-1000,5,8.845909
-1030,6,8.849906
-1000,5,8.851905
-1010,8,8.857902
-1060,11,8.864898
-1070,8,8.923864
-1050,12,8.93086
-990,6,8.934858
-1020,7,8.939855
-1050,10,8.945852
-1060,11,8.951848
-1070,14,8.959844
-1050,10,8.965841
-980,5,8.968838
-1030,8,8.973835
-1070,14,8.98383
-1030,6,8.986828
-1100,15,8.996823
-990,4,8.99982
-990,4,9.055788
-1110,16,9.065782
-1060,9,9.070779
-1060,11,9.077775
-1020,7,9.081773
-980,5,9.084771
-1030,8,9.089768
-1050,12,9.097764
-990,6,9.100762
-1020,7,9.10476
-990,6,9.109757
-990,6,9.112755
-1050,8,9.117752
-1070,8,9.12175
-980,5,9.124748
-1010,8,9.129745
-1040,9,9.189712
-1040,7,9.193709
-1070,10,9.198707
-1020,9,9.203704
-990,4,9.206702
-1020,7,9.211699
-980,5,9.215697
-1140,21,9.22569
-1020,5,9.228688
-990,6,9.232687
-1050,10,9.237683
-1040,9,9.24268
-1020,9,9.247677
-1030,10,9.254673
-1050,10,9.259671
-1040,7,9.317638
-1000,7,9.321635
-1010,6,9.325633
-1130,18,9.336626
-1020,7,9.340624
-1020,7,9.344622
-1010,4,9.346621
-1010,8,9.352617
-1020,7,9.357615
-1010,6,9.360612
-1030,8,9.36561
-1030,4,9.367609
-1090,12,9.373605
-990,4,9.375604
-1020,7,9.379602
-1050,12,9.388597
-1080,13,9.45156
-1090,10,9.456558
-1010,6,9.459556
-1080,13,9.46855
-1060,7,9.471549
-1050,8,9.476546
-1040,11,9.482543
-1100,13,9.489539
-1060,13,9.498534
-1080,13,9.506529
-1020,7,9.510527
-1050,10,9.515524
-1000,5,9.518522
-1020,7,9.577488
-1110,16,9.586482
-1000,7,9.59148
-1050,10,9.597476
-1060,11,9.602473
-1060,11,9.60947
-1100,17,9.619463
-1010,6,9.623461
-1040,9,9.628458
-1020,9,9.634455
-1050,10,9.639452
-980,5,9.64245
-1090,16,9.708413
-1030,8,9.712411
-1010,4,9.71441
-990,6,9.718406
-1010,6,9.722404
-1000,5,9.724403
-1050,10,9.731399
-990,6,9.734398
-1160,21,9.750388
-1050,8,9.754386
-1030,8,9.759384
-990,6,9.762382
-980,5,9.76538
-1100,13,9.772376
-1000,5,9.774374
-1060,9,9.780371
-1000,5,9.78337
-980,5,9.840337
-1020,5,9.842335
-1060,11,9.850331
-990,6,9.854328
-1040,7,9.858326
-1030,8,9.862324
-1030,8,9.867321
-970,4,9.86932
-1010,6,9.873317
-1020,7,9.877315
-980,5,9.880313
-1050,10,9.88631
-1010,6,9.889308
-1030,8,9.894306
-1020,9,9.900302
-990,4,9.902301
-1030,8,9.908297
-1050,10,9.915293
-970,4,9.971262
-1000,5,9.97426
-1000,5,9.977258
-1030,8,9.981256
-1050,10,9.987253
-1020,5,9.99025
-1070,10,9.995248
-1030,6,9.999246
-1010,6,10.002244
-1020,5,10.005242
-990,6,10.009239
-1020,5,10.012238
-1010,6,10.015237
-1000,5,10.018235
-1110,14,10.02523
-1070,12,10.033226
-980,5,10.036224
-1030,6,10.039222
-1010,6,10.04222
-1030,4,10.098188
-1040,11,10.105184
-1040,9,10.110181
-1120,13,10.116178
-1030,6,10.119176
-1110,16,10.12917
-1010,8,10.133168
-1010,6,10.137166
-990,4,10.139164
-1000,5,10.142163
-1040,9,10.14716
-1050,8,10.151157
-1000,5,10.154156
-1090,12,10.160152
-1020,9,10.167148
-1010,6,10.225115
-1040,9,10.230112
-1070,12,10.236109
-1070,12,10.243105
-1110,16,10.2511
-1090,12,10.257097
-970,4,10.260095
-1060,9,10.265092
-990,6,10.26909
-1040,9,10.274087
-1000,5,10.278085
-1060,9,10.282083
-1070,12,10.288079
-1010,4,10.290078
-980,5,10.294075
-1010,6,10.352043
-1080,15,10.363035
-1010,8,10.368033
-1040,7,10.37203
-1070,10,10.377028
-1050,8,10.381025
-1090,14,10.39002
-1030,6,10.393018
-1040,11,10.401014
-1000,5,10.404012
-1000,5,10.40701
-1020,7,10.411008
-1010,8,10.416006
-1020,5,10.418004
-1010,4,10.421002
-1020,7,10.425
-1000,7,10.483967
-1120,15,10.490962
-1010,6,10.49496
-1050,8,10.498958
-1060,11,10.503955
-1040,9,10.509952
-1030,6,10.51295
-1040,5,10.514949
-1100,17,10.523943
-1020,7,10.527941
-1070,10,10.532938
-1140,19,10.543932
-1040,7,10.54793
-1020,7,10.607895
-1020,5,10.610893
-1080,11,10.61689
-1050,12,10.624885
-1010,4,10.626884
-1070,14,10.634879
-990,6,10.638877
-990,6,10.641875
-1050,12,10.64987
-1000,5,10.652869
-980,5,10.655867
-1020,7,10.658866
-1030,6,10.661864
-1010,6,10.665862
-1070,12,10.672858
-1040,9,10.677854
-1000,5,10.679854
-1010,6,10.73982
-970,4,10.742817
-1000,5,10.745816
-1020,9,10.751812
-1010,4,10.753811
-990,4,10.75681
-990,4,10.758808
-1130,14,10.765804
-1030,6,10.768803
-1090,16,10.779796
-1120,15,10.787792
-1020,7,10.792789
-1030,8,10.796786
-990,4,10.799785
-980,5,10.802783
-1010,6,10.80678
-1060,11,10.811777
-990,4,10.867745
-990,4,10.870743
-1170,24,10.889733
-1100,15,10.899726
-1020,7,10.903724
-1000,5,10.906723
-1080,9,10.91072
-980,5,10.914718
-1030,8,10.919715
-970,4,10.922714
-1000,7,10.926711
-1100,15,10.937705
-1050,8,10.942702
-1040,7,10.946699
-1000,7,10.951697
-1040,9,11.012662
-1030,8,11.017659
-1050,8,11.021657
-1050,10,11.027654
-990,6,11.031651
-1020,5,11.03365
-1130,16,11.042645
-1080,15,11.054638
-1040,9,11.060634
-1030,8,11.065632
-1020,7,11.069629
-1020,7,11.073627
-970,4,11.075625
-1050,10,11.081622
-1020,7,11.08662
-1020,9,11.145586
-1020,7,11.149583
-1040,7,11.153581
-1010,6,11.156579
-1080,15,11.167573
-1020,7,11.17257
-1050,8,11.176568
-1030,8,11.181565
-1060,9,11.186562
-1150,16,11.194557
-1020,9,11.199554
-980,5,11.202553
-1050,10,11.209549
-1010,4,11.211548
-1000,5,11.215545
-1020,5,11.272512
-1150,18,11.282507
-1030,8,11.286504
-1040,7,11.290502
-1020,9,11.295499
-1050,8,11.299497
-1050,8,11.303494
-1040,9,11.309491
-1070,14,11.317486
-1040,11,11.324482
-1010,4,11.326481
-1040,7,11.330479
-1070,10,11.336475
-1010,6,11.340473
-990,4,11.342472
-1080,15,11.406435
-990,6,11.411433
-1060,7,11.414431
-980,5,11.418428
-1100,15,11.426424
-980,5,11.429422
-990,4,11.431421
-1030,8,11.436418
-1120,19,11.446412
-1010,8,11.45041
-1030,8,11.454409
-980,5,11.458405
-1080,13,11.465402
-990,6,11.4684
-1000,7,11.473397
-1040,7,11.532363
-1150,16,11.539359
-1020,5,11.542357
-1040,9,11.547354
-980,5,11.550353
-1050,6,11.55335
-1050,12,11.560347
-1030,8,11.565344
-1060,13,11.571341
-1040,9,11.576337
-990,4,11.578336
-1030,8,11.583333
-1030,6,11.586332
-1000,7,11.591329
-1070,10,11.597325
-980,5,11.654293
-990,4,11.656291
-1040,11,11.664287
-1020,9,11.670284
-1010,6,11.674281
-1070,10,11.679279
-1040,7,11.683276
-1050,10,11.689273
-1020,7,11.693271
-1000,7,11.698268
-1040,9,11.703265
-1090,14,11.711261
-1050,10,11.717257
-1080,11,11.722253
-1000,5,11.725251
-1010,4,11.72825
-1030,6,11.786217
-1030,10,11.791214
-1080,11,11.79821
-1050,12,11.805206
-1010,6,11.808204
