#{"t_start": 1590692262.788145, "env_id": "zhedLevel6-v0"}
r,l,t
-1030,6,4.399468
-1070,8,4.404465
-990,4,4.406464
-1060,9,4.463431
-1050,8,4.467429
-1050,6,4.471427
-1020,5,4.473425
-990,4,4.476424
-1030,8,4.480422
-1020,7,4.484419
-1060,9,4.489416
-1070,10,4.495413
-1060,11,4.502409
-1000,5,4.505407
-1010,8,4.510404
-1030,10,4.5174
-1040,9,4.523397
-1010,6,4.526395
-1010,6,4.530392
-1020,5,4.533391
-1000,7,4.538388
-1020,7,4.595355
-1060,11,4.600352
-1050,8,4.605349
-1040,7,4.609347
-1030,8,4.615343
-1070,12,4.625339
-1090,10,4.630335
-1050,8,4.634332
-1000,7,4.63833
-1070,12,4.647325
-1060,9,4.652322
-990,4,4.65532
-1060,9,4.660317
-1040,7,4.664315
-1100,13,4.724281
-1030,6,4.727279
-1040,11,4.735275
-1080,13,4.74327
-1050,10,4.750266
-1020,5,4.753264
-1060,11,4.76026
-1110,12,4.766257
-1050,6,4.770254
-1040,7,4.773252
-1040,9,4.779249
-1050,10,4.784246
-1100,15,4.792242
-1000,5,4.79524
-1010,4,4.797239
-1010,6,4.853207
-1040,9,4.860203
-1020,5,4.863202
-1050,6,4.866199
-1070,14,4.877193
-1020,5,4.880191
-990,6,4.884189
-1040,5,4.887187
-1020,9,4.893183
-990,4,4.896182
-1080,9,4.90018
-1020,7,4.905177
-1020,7,4.909174
-1010,4,4.912173
-1100,13,4.920169
-1040,5,4.923167
-1100,17,4.988129
-1040,9,4.993126
-1010,4,4.996125
-970,4,4.999123
-1040,9,5.005119
-1040,9,5.011116
-1020,5,5.013115
-1030,6,5.016113
-1060,13,5.024109
-1030,8,5.029106
-1040,7,5.033103
-1020,5,5.035102
-1050,6,5.0391
-1000,7,5.043098
-1040,7,5.047096
-990,4,5.049094
-1050,8,5.054091
-1030,8,5.058089
-1130,20,5.121052
-1010,6,5.126049
-1020,7,5.130047
-1030,6,5.134045
-980,5,5.137043
-1070,8,5.141041
-1030,6,5.145039
-1020,9,5.152035
-1130,18,5.164027
-1070,10,5.170024
-1040,9,5.176021
-1120,17,5.187015
-1010,4,5.190013
-990,4,5.192012
-1000,5,5.19501
-1030,8,5.251977
-990,4,5.253976
-1030,8,5.258973
-990,6,5.262971
-1000,7,5.268967
-1070,12,5.275964
-1030,6,5.278962
-1030,10,5.286957
-1020,7,5.291955
-1000,5,5.294952
-990,4,5.297951
-1050,8,5.302948
-1010,6,5.306946
-1030,10,5.312942
-1030,8,5.318939
-1090,12,5.325935
-1010,4,5.328933
-1030,8,5.3849
-980,5,5.388898
-1000,5,5.391897
-1070,10,5.397893
-1000,5,5.400891
-1000,5,5.40289
-1010,8,5.407887
-1030,6,5.411885
-1000,5,5.414883
-1090,16,5.424878
-1060,9,5.430874
-1020,5,5.433872
-1070,8,5.436871
-1300,33,5.453861
-1000,5,5.50783
-1030,6,5.510828
-1080,11,5.516825
-1040,9,5.522821
-1070,10,5.527818
-1010,6,5.531816
-990,4,5.533815
-1020,7,5.538812
-1020,7,5.54281
-1130,20,5.555802
-1050,8,5.560799
-1040,9,5.565796
-1010,6,5.569794
-1050,10,5.575791
-1010,6,5.578789
-1040,11,5.637756
-990,6,5.641753
-990,4,5.644752
-1090,12,5.650748
-990,4,5.653746
-1020,7,5.657744
-990,6,5.661742
-1060,13,5.669737
-1060,7,5.673735
-1140,15,5.68173
-1030,6,5.685728
-1000,5,5.688726
-1030,6,5.691724
-1050,10,5.697721
-1100,13,5.706716
-1040,7,5.709714
-1070,12,5.767681
-1070,10,5.774677
-1180,21,5.788668
-1000,5,5.790667
-1060,11,5.797664
-1010,6,5.801661
-1030,8,5.806658
-1050,6,5.809657
-1010,6,5.814654
-1040,7,5.818651
-1010,6,5.822649
-1100,11,5.828645
-1070,10,5.835641
-1070,12,5.844636
-1070,12,5.903602
-1150,18,5.914596
-1050,10,5.921592
-1060,7,5.92459
-1090,12,5.931586
-1050,8,5.935584
-1020,7,5.939582
-1080,13,5.947577
-1070,10,5.953573
-1020,5,5.956572
-1050,8,5.96057
-1040,9,5.964568
-1010,6,5.968565
-980,5,6.023534
-1010,4,6.025532
-980,5,6.02953
-1050,8,6.035526
-1040,9,6.041523
-1070,8,6.045521
-1120,13,6.052517
-1020,5,6.055515
-1030,8,6.059513
-1030,8,6.065509
-1040,7,6.069507
-1010,6,6.073505
-1010,6,6.077502
-1040,7,6.080501
-1020,7,6.086497
-1020,5,6.088496
-1020,5,6.092494
-1070,8,6.096492
-1020,7,6.100489
-1070,10,6.158456
-1130,16,6.166451
-1050,10,6.172447
-990,4,6.174446
-1040,9,6.179444
-1050,10,6.18644
-1130,16,6.195434
-1020,5,6.198433
-1010,6,6.20243
-1100,13,6.209426
-990,6,6.213424
-1010,6,6.217422
-1090,12,6.223418
-1050,8,6.280386
-990,6,6.284384
-1050,8,6.289381
-1030,10,6.296377
-1020,7,6.301374
-1000,5,6.304372
-1030,6,6.307377
-1010,6,6.311367
-1020,7,6.315365
-1040,7,6.319363
-1020,7,6.324361
-970,4,6.326359
-1000,5,6.330357
-1000,7,6.335354
-1010,6,6.338352
-1000,5,6.342349
-1030,8,6.346348
-1040,7,6.350346
-1000,5,6.353344
-1140,17,6.414309
-1080,11,6.421305
-1100,11,6.426301
-990,4,6.4293
-990,4,6.432298
-1140,19,6.444291
-1060,7,6.448288
-1110,14,6.455284
-970,4,6.458283
-1060,9,6.46428
-1050,8,6.468277
-1060,9,6.473274
-1000,5,6.476273
-1030,6,6.479271
-1010,6,6.483269
-1030,6,6.538237
-1060,13,6.549231
-990,4,6.55123
-1110,14,6.559225
-1070,10,6.564223
-1150,16,6.573217
-1020,7,6.577215
-1010,4,6.579214
-1060,9,6.583212
-1000,5,6.58621
-1030,6,6.590208
-1000,5,6.593206
-1080,11,6.601201
-1030,6,6.604199
-1070,10,6.611195
-1080,11,6.669162
-1010,6,6.67316
-1020,5,6.676158
-1070,10,6.683154
-990,6,6.686152
-1030,6,6.689151
-1040,7,6.693148
-1030,8,6.698146
-1060,11,6.705141
-1030,8,6.709139
-1000,5,6.712137
-1100,11,6.719133
-1000,7,6.72413
-1040,9,6.729128
-1060,11,6.737123
-990,4,6.739122
-1050,8,6.744119
-1040,11,6.805084
-1020,5,6.808082
-1020,5,6.81108
-1020,7,6.814079
-1080,11,6.821074
-1040,7,6.825072
-1070,12,6.834067
-1020,5,6.837065
-1010,4,6.840063
-1030,8,6.84606
-1010,6,6.850058
-1110,16,6.860052
-1070,10,6.865049
-1020,5,6.868047
-1020,7,6.873044
-1050,12,6.93201
-1010,6,6.935009
-1040,9,6.942005
-1070,8,6.946002
-1020,7,6.950999
-1130,18,6.960994
-1090,12,6.96699
-980,5,6.969989
-1050,8,6.973986
-1000,5,6.976985
-1010,6,6.980982
-1050,8,6.98498
-1110,16,6.995974
-1070,12,7.00197
-1080,11,7.058938
-1020,7,7.063935
-1000,5,7.066933
-1130,16,7.074929
-1150,18,7.083923
-1070,10,7.090919
-1040,7,7.095916
-1160,21,7.109908
-1010,8,7.113906
-1020,5,7.115904
-1060,9,7.121902
-1030,8,7.125899
-1030,6,7.129897
-990,4,7.183866
-1080,9,7.187864
-1000,5,7.190861
-1040,7,7.194859
-990,4,7.197858
-1010,6,7.201855
-1060,9,7.206852
-1060,11,7.214847
-1000,7,7.220844
-1050,6,7.223842
-1110,14,7.231838
-1030,8,7.237834
-1010,8,7.241832
-1000,5,7.244831
-1030,8,7.251827
-1050,8,7.256824
-1060,11,7.264819
-1050,8,7.321786
-1000,5,7.325784
-1070,8,7.330781
-1010,8,7.334779
-1090,14,7.344773
-1030,6,7.347771
-1020,5,7.350769
-990,4,7.353767
-1060,9,7.359764
-1170,20,7.371757
-1020,7,7.375755
-1060,11,7.382751
-1030,6,7.385749
-1040,7,7.390755
-1040,11,7.447714
-980,5,7.451711
-1060,11,7.457708
-1050,10,7.464704
-990,4,7.466703
-1050,6,7.470701
-1040,7,7.474698
-1030,6,7.478696
-1120,13,7.486691
-1050,12,7.494687
-1010,6,7.499683
-1060,9,7.504681
-1040,11,7.512676
-1130,18,7.521671
-1080,13,7.581636
-1020,7,7.585634
-1020,7,7.590631
-1030,8,7.595628
-1020,7,7.600625
-1060,9,7.604623
-1050,6,7.607621
-990,4,7.61062
-1100,13,7.617615
-1030,8,7.622612
-1160,21,7.637604
-1020,9,7.6436
-1050,6,7.647598
-1030,6,7.650596
-1070,10,7.656594
-1050,6,7.711562
-1070,10,7.717558
-970,4,7.720557
-1050,12,7.728553
-1020,7,7.73355
-1070,12,7.739545
-1050,8,7.744543
-1020,7,7.74954
-1030,6,7.753537
-1010,6,7.756536
-1020,5,7.760534
-1070,10,7.766531
-1120,13,7.773526
-1040,7,7.777524
-1050,10,7.783521
-1050,10,7.841487
-1020,9,7.847484
-1020,7,7.851481
-1030,8,7.856478
-1050,12,7.866472
-1110,14,7.875468
-1120,17,7.883463
-1010,4,7.885462
-1070,12,7.895456
-1000,5,7.898454
-990,4,7.900454
-1050,8,7.90545
-1070,8,7.909448
-1020,7,7.913446
-1000,7,7.917444
-1100,11,7.97641
-990,6,7.980407
-1010,6,7.984405
-1010,6,7.987404
-1030,6,7.991401
-1050,8,7.995399
-1050,10,8.003394
-1030,6,8.006392
-1030,8,8.011389
-1060,11,8.017386
-1060,9,8.024382
-1020,5,8.02638
-1050,8,8.031377
-1020,7,8.035375
-990,4,8.037374
-990,4,8.040372
-1020,5,8.04337
-1090,12,8.049367
-1040,7,8.105335
-1000,7,8.109333
-1050,10,8.116329
-1090,12,8.122325
-1010,6,8.125324
-1010,6,8.129322
-1000,5,8.132319
-1050,10,8.138317
-1050,10,8.145312
-970,4,8.147311
-1060,9,8.152308
-1090,14,8.160303
-1000,5,8.163302
-1070,12,8.170298
-1070,8,8.175295
-1030,8,8.231263
-1020,7,8.23626
-1000,7,8.241257
-1070,10,8.247254
-1070,12,8.25325
-1040,9,8.258248
-1010,6,8.263245
-980,5,8.266243
-1110,16,8.276237
-990,4,8.279235
-1060,7,8.283233
-1020,7,8.287231
-1030,8,8.291229
-1050,6,8.295226
-970,4,8.297225
-1010,4,8.299224
-1070,8,8.304221
-1050,10,8.363187
-1010,4,8.365186
-1000,5,8.368184
-990,4,8.371182
-1010,4,8.373181
-1030,4,8.37518
-1060,11,8.384174
-1010,8,8.389172
-1050,8,8.393169
-1010,6,8.397167
-1070,10,8.403163
-1000,5,8.405163
-1040,9,8.412158
-1110,16,8.424152
-1010,6,8.428149
-1140,15,8.437144
